"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"336","Not to be overly dramatic or anything but I think Chris Paul James Harden and LeBron James on the same team would be a",FALSE,0,NA,2017-12-11 19:28:28,FALSE,NA,"940302280074711043",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jerard94",31,TRUE,FALSE,NA,NA
"337","Chris Paul is the godfather to lebron son of course theyre tight ",FALSE,0,"ColinCowherd",2017-12-11 19:27:53,FALSE,"940261143796334592","940302136608460800","52529896","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yaann6",0,FALSE,FALSE,NA,NA
"338","Delighted thepartneship betweenandkicks off withinat Nuffield road Cambridge",FALSE,0,NA,2017-12-11 19:26:04,FALSE,NA,"940301677852286976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RyallsLewis",10,TRUE,FALSE,NA,NA
"339","LeBron James to the Rockets is prooooobably only possible if Chris Paul takes a large pay cut

I broke down the salary cap r",FALSE,0,NA,2017-12-11 19:25:50,FALSE,NA,"940301617311690752",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Mihlz_G",17,TRUE,FALSE,NA,NA
"340","I will not be mad at LeBron if He bolts to Houston to play with James Harden and Chris Paul That would be AWESOME",FALSE,1,NA,2017-12-11 19:25:37,FALSE,NA,"940301563049992192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kikz_32",0,FALSE,FALSE,NA,NA
"341","This deal makes the NBA look like geniuses for blocking the C Paul trade This iscollusion",FALSE,0,"Chris_Cwik",2017-12-11 19:25:14,FALSE,"940299134766014464","940301466526289920","83273416","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seanmcd1979",0,FALSE,FALSE,NA,NA
"342","Not to be overly dramatic or anything but I think Chris Paul James Harden and LeBron James on the same team would be a",FALSE,0,NA,2017-12-11 19:21:43,FALSE,NA,"940300582387978240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SterlingB126",31,TRUE,FALSE,NA,NA
"343","LeBron James to the Rockets is prooooobably only possible if Chris Paul takes a large pay cut

I broke down the salary cap r",FALSE,0,NA,2017-12-11 19:20:03,FALSE,NA,"940300163259817984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","spaycegator",17,TRUE,FALSE,NA,NA
"344","You clearly dont know who chris paul is then",FALSE,2,"drizzl33",2017-12-11 19:19:20,FALSE,"940296081845506053","940299983030435841","37133490","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PrimeCP3",0,FALSE,FALSE,NA,NA
"345","Rockets arewith Chris Paul in the lineup this year CP hasand to compliment the Beards",FALSE,0,NA,2017-12-11 19:18:53,FALSE,NA,"940299868282728449",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Thacharonni",120,TRUE,FALSE,NA,NA
